id,image,price,title,description,category
1,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg,109.95,"Fjallraven - Mochila plegable n. ° 1, para 15 portátiles","Tu mochila perfecta para el uso diario y los paseos por el bosque. Guarde su computadora portátil (hasta 15 pulgadas) en la funda acolchada, su diario",caballeros
2,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,22.30,Camisetas de corte entallado premium casual para hombre,"Estilo ajustado, manga larga raglán en contraste, tapeta henley de tres botones, tela ligera y suave para un uso cómodo y transpirable. Y camisas con costuras sólidas con cuello redondo hechas para una mayor durabilidad y un gran ajuste para la moda casual y los fanáticos del béisbol acérrimos. El escote redondo estilo henley incluye una tapeta de tres botones.",caballeros
3,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,55.99,Chaqueta de algodón para hombre,"Excelentes chaquetas de abrigo para primavera / otoño / invierno, adecuadas para muchas ocasiones, como trabajar, ir de excursión, acampar, escalar montañas / rocas, andar en bicicleta, viajar u otras actividades al aire libre. Buena opción de regalo para usted o un miembro de su familia. Un afectuoso amor al padre, esposo o hijo en este día de acción de gracias o Navidad.",caballeros
4,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,15.99,Hombre Casual Slim Fit,"El color puede ser ligeramente diferente en la pantalla y en la práctica. / Tenga en cuenta que la estructura corporal varía según la persona, por lo tanto, la información detallada sobre el tamaño debe revisarse a continuación en la descripción del producto.",caballeros
5,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,695.00,John Hardy - Pulsera de cadena de estación de dragón de oro y plata Legends Naga para mujer,"De nuestra colección Legends, el Naga se inspiró en el mítico dragón de agua que protege la perla del océano. Use mirando hacia adentro para recibir amor y abundancia, o hacia afuera para protección.",joyeria
6,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,168.00,Micropave Petite de oro macizo,Satisfacción garantizada. Devuelva o cambie cualquier pedido dentro de los 30 días. Diseñado y vendido por Hafeez Center en los Estados Unidos. Satisfacción garantizada. Devuelva o cambie cualquier pedido dentro de los 30 días.,joyeria
7,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,9.99,Princesa Chapada en Oro Blanco,"Anillo de compromiso de diamante solitario de compromiso de boda creado clásico para ella. Regalos para estropear más tu amor por Compromiso, Boda, Aniversario, Día de San Valentín ...",joyeria
8,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,10.99,Búho Perforado Doble Acero Inoxidable Chapado En Oro Rosa,Aretes tipo clavija tipo túnel con doble campana chapados en oro rosa. Hecho de acero inoxidable 316L,joyeria
9,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,64.00,Disco duro externo portátil WD Elements de 2 TB - USB 3.0,"Compatibilidad con USB 3.0 y USB 2.0 Transferencias rápidas de datos Mejora el rendimiento de la PC Alta capacidad; Compatibilidad NTFS formateada para Windows 10, Windows 8.1, Windows 7; Es posible que sea necesario reformatear para otros sistemas operativos; La compatibilidad puede variar según la configuración del hardware y el sistema operativo del usuario.",electronicos
10,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,109.00,SSD interno SanDisk SSD PLUS 1TB - SATA III 6 Gb / s,"Actualización fácil para un arranque, apagado, carga de aplicaciones y respuesta más rápidos (en comparación con el disco duro SATA de 2.5 ”a 5400 RPM; basado en especificaciones publicadas y pruebas comparativas internas con puntajes PCMark Vantage) Aumenta el rendimiento de escritura en ráfagas, lo que lo hace ideal para cargas de trabajo típicas de PC El equilibrio perfecto entre rendimiento y confiabilidad Velocidades de lectura / escritura de hasta 535 MB / s / 450 MB / s (según pruebas internas; el rendimiento puede variar según la capacidad de la unidad, el dispositivo host, el sistema operativo y la aplicación).",electronicos
